text,label
Busch the man to beat for NASCAR title. Kurt Busch has been doing everything right in his bid for his first Nextel Cup championship. He now has one big hurdle to clear entering Sunday #39;s Ford 400.,Sports
"Birding Column: Appreciating Non-Native Ducks and Geese. While ""serious"" birders in the U.S. disdain non-native ducks and geese, one birding columnist enjoys observing the many species that have made California their home.",Sci/Tech
Parmalat sues 45 banks over crash. Parmalat sues 45 banks as it tries to reclaim money paid to banks before the scandal-hit Italian dairy company went bust last year.,Business
"Chinas economy: Fear and attraction. GUANGZHOU, China Few business executives watch the growth of the Chinese economy as closely as Michael Smith, the chief executive of Hongkong and Shanghai Banking.",Business
"Oil falls \$1-a-barrel as gasoline prices slide. Oil prices fell more than \$1 to just over \$44 a barrel Wednesday, dragged down by heavy losses in US gasoline futures after summer driving demand failed to meet expectations.",Business
"Dollar Extends Rebound Against Euro, Yen.  TOKYO (Reuters) - The dollar rebounded for a second session  against the yen and the euro on Thursday as traders and  investors took profits on bets against the U.S. currency before  the year draws to a close.",Business
"Yasser Arafat, dead at 75.. HIS MISSION in life was embodied in a slogan: Death to Israel. Now death has claimed Yasser Arafat, president of the Palestinian National Authority, founder of the Palestinian Liberation Organization, Nobel ",World
"AT amp;T Plans More Cuts In Workforce. AT amp;T Corp. said it would restructure its business, cutting 20 percent of its jobs and writing down the value of its network by \$11.",Business
"Abu Dhabi TV reports British hostage Kenneth Bigley killed by captors in Iraq (Canadian Press). Canadian Press - DUBAI, United Arab Emirates (AP) - British hostage Kenneth Bigley has been killed by his captors in Iraq, Abu Dhabi television reported Friday. The British Foreign Office said it could not confirm the report.",World
"NWA #39;s Anderson moves to UnitedHealth. Northwest Airlines Corp. CEO Richard Anderson has resigned to take an executive job at UnitedHealth Group Inc. Anderson, 49, who took over the top job at the Eagan-based airline in 2001, will become an executive vice president at UnitedHealth.",Business
"Russia wins grueling, endangered pentathlon. ATHENS Andrei Moiseev of Russia won the men #39;s modern pentathlon on Thursday, finishing so far ahead of his rivals that he was able to stop and collect a flag from a spectator before crossing the line.",Sports
"Sorenstam Ends the Year With Trophy (AP). AP - Despite 33 victories in the last four years, Annika Sorenstam keeps saying that winning is not as easy as she makes it look.",Sports
"Pakistan Arrests Two Al Qaeda Suspects.  PESHAWAR, Pakistan (Reuters) - Pakistani police arrested an  Algerian and one other foreigner suspected of links with al  Qaeda on Thursday in the northern city of Peshawar after a  shoot-out, intelligence officials said.",World
"3 Britons abducted in Baghdad. Three British nationals were nabbed by gunmen in the Iraqi capital on Thursday, the Iraqi Interior Ministry said. The three British men were believed to be civilians living ",World
"EU warns Italy on Alitalia stake. The Italian state must give up its majority stake in troubled Alitalia when the airline sells new shares, the EU warns.",Business
"Hawks rout Pack. Kansas had one primary goal defensively Monday night and that was to limit the touches of Nevada sharpshooter Nick Fazekas. Before the first half even ended, the Jayhawks knew if ",Sports
"Clashes Break Out in Baghdad. For one commander in the militia loyal to Shiite cleric Moqtada Sadr, the trip home to Baghdad after a cease-fire was reached in Najaf was just a pit stop.",World
"Wineries in South Africa give a boost to blacks. ELGIN VALLEY, South Africa -- When South Africa held its first fully democratic elections in 1994, Patrick Kraukamp, a day laborer, was just starting a job as a forklift driver at the Paul Cluver wine estate in this lush mountain valley.",Business
Anderson Hoping for Happier Times for Scotland. Russell Anderson claims he relishes every opportunity to pull on a Scotland jersey - even though he does not have too many happy memories to call upon.,Sports
"Why do Workouts Work?. Most machines don't improve with use. Old pickup trucks don't gradually become Ferraris just by driving them fast, and a pocket calculator won't change into a supercomputer by crunching lots of numbers. The human body is different...",Sci/Tech
"EU Holds Out Prospect of End to China Arms Embargo. The EU told China on Wednesday it was not yet ready to end its 15-year-old ban on selling it arms, but suggested the embargo could be lifted in early 2005 despite opposition from human rights groups and Washington.",World
"Feds fund secure ID project. Security company Digimarc gets \$1 million to push state drivers' licenses with ""covert watermarks.""",Sci/Tech
"Brazil passes bankruptcy reform. Brazilian Congress gives the green light to a long awaited overhaul of bankruptcy laws, which it hopes will reduce business and credit costs.",Business
"ETA Urged to Quit Fight as 17 More Suspects Jailed.  MADRID (Reuters) - Spain's Basque regional government  called on armed separatist group ETA to renounce violence on  Tuesday, stepping up political pressure on the severely  weakened guerrillas to lay down their arms.",World
"Venus, Jupiter come closest. RAWALPINDI: Venus and Jupiter crossed each other in the eastern skies on Friday morning with a distance of less than 1 degree. This closeness was an illusion, seen from the Earth, as both the planets are at great distance from each other.",Sci/Tech
